,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
0,San Antonio Spurs*,82,242.1,35.2,82.7,.425,4.3,12.6,.343,30.8,70.1,.440,15.6,21.0,.739,12.0,29.4,41.4,20.3,7.9,5.2,14.4,23.1,90.2,2000
1,New York Knicks*,82,241.8,33.1,78.0,.424,4.9,14.6,.338,28.1,63.4,.444,19.6,26.3,.747,11.3,29.8,41.1,19.6,7.4,4.3,14.2,21.9,90.7,2000
2,Portland Trail Blazers*,82,241.2,34.5,80.0,.431,4.8,14.6,.330,29.6,65.4,.453,17.3,24.2,.716,11.9,27.1,39.0,20.8,8.0,4.3,14.5,22.8,91.0,2000
3,Miami Heat*,82,241.8,33.9,80.4,.422,5.0,13.8,.361,29.0,66.6,.434,18.4,24.7,.748,11.9,28.5,40.4,19.3,7.6,4.4,14.0,21.9,91.3,2000
4,Utah Jazz*,82,240.9,33.9,76.1,.446,4.7,13.4,.354,29.2,62.7,.465,19.5,26.1,.746,10.8,27.3,38.1,19.8,7.2,5.0,15.5,24.7,92.0,2000
5,Los Angeles Lakers*,82,241.5,34.6,83.2,.416,4.5,13.9,.326,30.1,69.3,.434,18.5,24.9,.742,12.3,30.9,43.1,19.5,7.6,4.2,14.6,25.6,92.3,2000
6,Philadelphia 76ers*,82,241.8,35.0,80.4,.435,5.1,14.3,.356,29.9,66.1,.452,18.4,24.4,.755,13.0,30.5,43.5,22.3,7.7,6.5,17.6,24.1,93.4,2000
7,Phoenix Suns*,82,241.5,34.5,81.3,.424,4.9,14.0,.352,29.5,67.3,.439,19.9,26.9,.739,13.1,30.1,43.1,20.7,8.9,5.2,17.3,21.9,93.7,2000
8,Chicago Bulls,82,241.5,35.6,78.0,.456,4.4,12.8,.341,31.2,65.2,.478,18.7,25.2,.741,12.2,29.5,41.7,23.2,10.4,5.6,15.2,24.0,94.2,2000
9,Charlotte Hornets*,82,241.2,37.2,83.1,.448,5.0,13.2,.378,32.2,69.8,.461,16.4,22.0,.745,11.8,31.1,42.9,23.2,7.4,5.1,15.8,25.3,95.8,2000
10,Minnesota Timberwolves*,82,242.7,35.7,80.2,.445,4.6,13.0,.356,31.0,67.2,.462,20.0,26.6,.752,11.2,29.8,40.9,21.2,7.2,4.2,15.0,20.5,96.0,2000
11,Indiana Pacers*,82,240.6,38.0,85.1,.446,4.0,12.3,.327,34.0,72.9,.466,16.8,22.2,.755,12.7,31.0,43.7,21.2,7.4,3.9,13.7,23.3,96.7,2000
12,Toronto Raptors*,82,240.9,36.6,80.7,.454,4.2,12.5,.339,32.4,68.2,.475,19.9,26.0,.764,11.7,31.1,42.8,21.8,6.8,5.3,15.2,22.9,97.3,2000
13,Seattle SuperSonics*,82,241.2,38.2,84.6,.451,5.4,15.8,.340,32.8,68.9,.477,16.4,21.9,.748,13.2,31.8,45.1,23.6,7.2,5.3,15.3,22.4,98.1,2000
14,New Jersey Nets,82,241.8,38.1,82.2,.464,4.5,12.4,.363,33.6,69.9,.481,18.3,24.5,.747,13.8,32.4,46.2,22.8,6.9,5.7,16.7,22.8,99.0,2000
15,Orlando Magic,82,240.9,37.5,84.4,.445,5.3,15.6,.338,32.3,68.8,.469,19.1,25.7,.745,13.3,30.2,43.5,24.3,8.8,5.8,18.1,24.5,99.4,2000
16,Vancouver Grizzlies,82,242.1,38.2,80.6,.474,4.4,13.2,.333,33.8,67.4,.502,18.7,24.3,.769,11.8,28.5,40.3,23.6,8.8,6.3,15.0,23.3,99.5,2000
17,Atlanta Hawks,82,241.8,39.2,86.1,.455,4.5,12.4,.367,34.6,73.7,.469,16.8,21.9,.769,12.8,30.2,43.0,23.0,8.0,4.9,12.2,22.3,99.7,2000
18,Washington Wizards,82,241.5,36.6,79.8,.459,4.8,12.8,.371,31.9,67.0,.476,21.8,29.3,.744,11.7,29.5,41.2,21.9,8.4,6.1,14.9,24.0,99.9,2000
19,Boston Celtics,82,240.6,36.1,76.9,.470,4.4,12.1,.361,31.7,64.7,.490,23.5,31.3,.753,10.5,30.9,41.4,21.9,7.8,5.8,17.0,23.5,100.1,2000
20,Houston Rockets,82,241.8,39.3,86.3,.456,4.3,12.1,.354,35.1,74.2,.473,17.4,22.3,.779,12.5,29.9,42.4,22.7,9.0,5.3,13.7,22.4,100.3,2000
21,Cleveland Cavaliers,82,242.1,36.4,82.1,.443,5.1,15.0,.342,31.3,67.2,.465,22.6,29.1,.776,12.4,31.5,43.9,23.7,8.0,6.1,16.9,25.1,100.5,2000
22,Milwaukee Bucks*,82,242.1,37.0,81.0,.457,6.5,16.5,.391,30.5,64.5,.473,20.5,27.3,.752,12.6,28.9,41.5,24.2,7.8,4.1,15.9,22.8,101.0,2000
23,Denver Nuggets,82,242.1,38.2,84.8,.450,4.9,13.7,.354,33.3,71.1,.469,19.9,26.5,.751,12.5,31.8,44.3,24.4,7.5,5.6,14.4,23.6,101.1,2000
24,Dallas Mavericks,82,240.6,39.3,86.0,.457,5.2,15.2,.345,34.1,70.8,.481,18.1,24.5,.740,15.3,33.2,48.4,23.2,7.4,5.1,16.1,22.1,102.0,2000
25,Detroit Pistons*,82,241.8,38.0,81.8,.465,5.6,15.0,.371,32.5,66.7,.486,20.4,27.3,.746,11.9,30.5,42.4,23.1,8.0,4.8,17.1,27.1,102.0,2000
26,Sacramento Kings*,82,241.5,39.9,88.3,.452,4.8,13.7,.353,35.0,74.6,.470,17.5,23.3,.751,13.9,33.7,47.6,23.8,9.2,4.9,17.5,23.7,102.0,2000
27,Los Angeles Clippers,82,240.3,40.0,83.9,.477,5.1,13.1,.387,34.9,70.8,.494,18.4,24.9,.741,12.7,32.9,45.6,24.1,7.6,4.6,14.3,21.1,103.5,2000
28,Golden State Warriors,82,240.9,38.6,82.6,.467,5.2,14.2,.367,33.4,68.5,.488,21.4,28.4,.754,13.3,32.8,46.1,24.8,8.4,6.0,16.3,23.0,103.8,2000
0,New York Knicks*,82,242.7,31.3,75.1,.417,5.4,15.4,.352,25.9,59.7,.434,18.0,24.6,.733,10.6,29.5,40.1,19.2,7.3,4.1,14.8,21.4,86.1,2001
1,Miami Heat*,82,242.4,32.9,76.4,.431,4.4,13.3,.331,28.5,63.1,.452,16.3,22.2,.737,11.1,30.8,42.0,17.3,7.3,5.2,15.5,22.2,86.6,2001
2,San Antonio Spurs*,82,241.8,34.6,82.6,.419,4.2,12.7,.329,30.4,69.8,.435,15.0,20.3,.741,11.8,29.7,41.5,19.7,7.3,5.2,13.5,23.7,88.4,2001
3,Charlotte Hornets*,82,242.4,33.7,79.3,.426,4.7,13.2,.360,29.0,66.1,.439,17.6,23.3,.756,10.9,29.7,40.6,21.3,7.5,4.6,14.7,21.6,89.8,2001
4,Philadelphia 76ers*,82,242.1,35.0,81.7,.429,5.2,15.2,.342,29.8,66.5,.448,15.2,20.2,.749,12.0,28.9,40.9,21.6,8.2,5.6,15.4,23.6,90.4,2001
5,Portland Trail Blazers*,82,241.2,34.4,78.5,.438,5.0,13.5,.368,29.4,65.0,.452,17.5,23.5,.744,11.5,27.3,38.8,21.3,7.9,4.0,14.8,21.2,91.2,2001
6,Phoenix Suns*,82,241.5,34.0,78.3,.435,4.0,11.4,.349,30.1,66.9,.449,19.7,25.9,.761,11.0,31.6,42.6,20.1,8.3,5.1,17.5,22.2,91.8,2001
7,Utah Jazz*,82,241.2,32.5,74.1,.439,5.0,14.6,.343,27.5,59.5,.462,22.3,29.2,.765,10.7,26.6,37.3,19.1,8.5,5.5,16.1,24.5,92.4,2001
8,Indiana Pacers*,82,243.7,34.5,81.5,.423,4.6,13.7,.336,29.9,67.8,.441,19.2,25.3,.758,12.7,30.4,43.1,20.7,7.2,4.7,13.6,23.0,92.8,2001
9,Houston Rockets,82,241.8,36.8,82.1,.449,4.4,12.4,.354,32.5,69.7,.465,16.9,22.7,.744,12.0,29.5,41.6,21.2,7.4,4.9,13.3,21.6,94.9,2001
10,Los Angeles Clippers,82,244.3,36.5,82.9,.440,4.3,13.1,.329,32.2,69.8,.461,18.0,24.2,.743,12.7,29.7,42.5,21.8,7.8,5.0,12.7,21.9,95.3,2001
11,Toronto Raptors*,82,243.4,36.7,82.0,.447,4.6,12.7,.363,32.1,69.3,.463,17.4,23.0,.754,11.3,30.6,41.9,20.7,6.8,5.4,14.1,21.9,95.4,2001
12,Sacramento Kings*,82,244.9,37.6,87.1,.432,4.9,13.8,.355,32.8,73.3,.447,15.7,21.0,.749,13.7,32.2,45.9,22.1,8.1,5.8,16.3,21.5,95.9,2001
13,Minnesota Timberwolves*,82,241.8,36.3,80.3,.452,4.3,12.1,.351,32.0,68.2,.470,19.1,26.4,.724,11.8,30.5,42.3,22.4,7.1,4.4,15.2,20.2,96.0,2001
14,Atlanta Hawks,82,240.6,35.6,80.6,.442,4.8,13.2,.367,30.8,67.4,.457,20.1,26.3,.765,12.5,30.9,43.5,21.2,8.5,6.3,14.8,20.7,96.2,2001
15,Dallas Mavericks*,82,241.5,35.8,81.6,.439,4.6,13.9,.334,31.2,67.7,.460,19.9,27.2,.731,13.0,32.0,45.0,21.7,7.6,4.6,15.5,22.5,96.2,2001
16,Cleveland Cavaliers,82,241.8,35.7,80.3,.445,5.1,14.1,.365,30.5,66.2,.462,19.9,25.9,.768,12.1,29.3,41.3,22.9,8.5,6.6,15.0,22.1,96.5,2001
17,Orlando Magic*,82,243.4,34.5,79.3,.435,4.5,12.9,.346,30.0,66.3,.453,23.0,31.3,.735,12.9,31.8,44.8,21.9,8.5,5.4,17.2,23.7,96.5,2001
18,Chicago Bulls,82,242.1,36.4,77.2,.472,4.2,11.9,.356,32.2,65.3,.493,19.6,26.9,.730,11.7,31.1,42.8,23.6,7.7,5.2,14.8,21.4,96.7,2001
19,Boston Celtics,82,241.8,35.8,78.0,.459,5.2,14.3,.368,30.5,63.7,.480,19.9,26.6,.750,10.8,32.3,43.1,23.0,7.9,5.4,17.1,23.2,96.8,2001
20,Milwaukee Bucks*,82,241.2,35.5,80.8,.439,5.4,15.2,.352,30.2,65.6,.460,20.5,26.7,.768,12.4,30.4,42.7,23.0,7.2,4.3,15.5,21.7,96.9,2001
21,New Jersey Nets,82,240.6,35.8,78.7,.455,5.2,14.5,.360,30.6,64.2,.477,20.3,27.2,.746,12.2,32.0,44.2,22.4,7.5,6.4,15.9,22.0,97.1,2001
