,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
0,Atlanta Hawks,,1-3,1-3,3-1,3-1,0-2,1-1,1-3,0-2,1-1,1-3,1-1,0-2,2-2,0-4,1-1,3-1,2-1,0-3,0-4,0-2,0-2,2-0,0-2,1-1,2-2,0-2,1-1,1-3,2000,28,54,.341,28.0,94.3,99.7,-5.41,2000,Atlanta Hawks,0,,,,,,,,
1,Boston Celtics,3-1,,1-3,2-2,2-2,1-1,2-0,0-3,1-1,1-1,1-3,1-1,0-2,1-3,1-2,0-2,3-1,2-2,2-2,1-3,1-1,0-2,1-1,0-2,1-1,2-2,1-1,1-1,3-1,2000,35,47,.427,17.0,99.3,100.1,-1.00,2000,Boston Celtics,0,,,,,,,,
2,Charlotte Hornets,3-1,3-1,,4-0,3-1,1-1,1-1,2-2,2-0,1-1,2-2,2-0,0-2,2-2,3-1,2-0,2-1,1-3,2-2,3-1,1-1,0-2,0-2,0-2,1-1,3-1,0-2,2-0,3-0,2000,49,33,.598,7.0,98.4,95.8,2.33,2000,Charlotte Hornets,1,,,,,,,,
3,Chicago Bulls,1-3,2-2,0-4,,1-3,0-2,1-1,1-3,0-2,0-2,1-3,2-0,0-2,2-2,1-3,0-2,2-1,0-3,0-4,0-4,0-2,0-2,0-2,0-2,1-1,0-4,0-2,0-2,2-2,2000,17,65,.207,39.0,84.8,94.2,-9.23,2000,Chicago Bulls,0,,,,,,,,
4,Cleveland Cavaliers,1-3,2-2,1-3,3-1,,2-0,2-0,2-2,1-1,1-1,0-4,2-0,0-2,0-3,1-3,0-2,2-2,3-1,2-1,0-4,0-2,1-1,0-2,1-1,0-2,0-4,0-2,2-0,3-1,2000,32,50,.390,24.0,97.0,100.5,-3.64,2000,Cleveland Cavaliers,0,,,,,,,,
5,Dallas Mavericks,2-0,1-1,1-1,2-0,0-2,,3-1,2-0,4-0,1-3,1-1,4-0,1-3,0-2,0-2,2-2,0-2,0-2,1-1,0-2,3-1,2-2,1-3,2-2,1-3,1-1,1-3,3-1,1-1,2000,40,42,.488,15.0,101.4,102.0,-0.29,2000,Dallas Mavericks,0,,,,,,,,
6,Denver Nuggets,1-1,0-2,1-1,1-1,0-2,1-3,,1-1,2-2,2-2,0-2,3-1,1-3,0-2,2-0,2-2,1-1,1-1,0-2,2-0,1-3,2-2,2-2,1-3,1-3,2-0,2-2,2-2,1-1,2000,35,47,.427,20.0,99.0,101.1,-1.76,2000,Denver Nuggets,0,,,,,,,,
7,Detroit Pistons,3-1,3-0,2-2,3-1,2-2,0-2,1-1,,2-0,1-1,1-3,2-0,0-2,2-2,3-1,0-2,2-1,1-3,2-2,2-2,0-2,1-1,0-2,1-1,2-0,2-2,0-2,2-0,2-2,2000,42,40,.512,14.0,103.5,102.0,1.13,2000,Detroit Pistons,1,,,,,,,,
8,Golden State Warriors,2-0,1-1,0-2,2-0,1-1,0-4,2-2,0-2,,1-3,0-2,1-3,0-4,1-1,1-1,1-3,0-2,0-2,1-1,0-2,0-4,0-4,1-3,0-4,0-4,0-2,0-4,3-1,1-1,2000,19,63,.232,48.0,95.5,103.8,-7.63,2000,Golden State Warriors,0,,,,,,,,
9,Houston Rockets,1-1,1-1,1-1,2-0,1-1,3-1,2-2,1-1,3-1,,0-2,4-0,2-2,1-1,0-2,0-4,1-1,0-2,0-2,1-1,2-2,2-2,1-3,0-4,1-3,0-2,1-3,2-2,1-1,2000,34,48,.415,21.0,99.5,100.3,-0.57,2000,Houston Rockets,0,,,,,,,,
10,Indiana Pacers,3-1,3-1,2-2,3-1,4-0,1-1,2-0,3-1,2-0,2-0,,1-1,1-1,2-2,2-2,1-1,3-1,2-2,2-1,2-2,1-1,2-0,1-1,1-1,1-1,3-1,2-0,2-0,2-1,2000,56,26,.683,—,101.3,96.7,4.15,2000,Indiana Pacers,1,,,,,,,,
11,Los Angeles Clippers,1-1,1-1,0-2,0-2,0-2,0-4,1-3,0-2,3-1,0-4,1-1,,0-4,0-2,0-2,1-3,1-1,1-1,0-2,1-1,0-4,0-4,1-3,0-4,1-3,0-2,0-4,1-3,1-1,2000,15,67,.183,52.0,92.0,103.5,-10.73,2000,Los Angeles Clippers,0,,,,,,,,
12,Los Angeles Lakers,2-0,2-0,2-0,2-0,2-0,3-1,3-1,2-0,4-0,2-2,1-1,4-0,,2-0,2-0,4-0,2-0,2-0,2-0,2-0,4-0,2-2,3-1,1-3,3-1,1-1,3-1,4-0,1-1,2000,67,15,.817,—,100.8,92.3,8.41,2000,Los Angeles Lakers,1,,,,,,,,
13,Miami Heat,2-2,3-1,2-2,2-2,3-0,2-0,2-0,2-2,1-1,1-1,2-2,2-0,0-2,,2-2,2-0,2-2,3-1,3-1,3-1,1-1,1-1,2-0,1-1,1-1,1-2,1-1,1-1,4-0,2000,52,30,.634,—,94.4,91.3,2.75,2000,Miami Heat,1,,,,,,,,
14,Milwaukee Bucks,4-0,2-1,1-3,3-1,3-1,2-0,0-2,1-3,1-1,2-0,2-2,2-0,0-2,2-2,,0-2,1-3,0-4,4-0,0-3,1-1,0-2,1-1,2-0,1-1,2-2,1-1,1-1,3-1,2000,42,40,.512,14.0,101.2,101.0,-0.06,2000,Milwaukee Bucks,1,,,,,,,,
15,Minnesota Timberwolves,1-1,2-0,0-2,2-0,2-0,2-2,2-2,2-0,3-1,4-0,1-1,3-1,0-4,0-2,2-0,,1-1,1-1,1-1,1-1,1-3,2-2,3-1,3-1,2-2,2-0,3-1,4-0,0-2,2000,50,32,.610,5.0,98.5,96.0,2.67,2000,Minnesota Timberwolves,1,,,,,,,,
16,New Jersey Nets,1-3,1-3,1-2,1-2,2-2,2-0,1-1,1-2,2-0,1-1,1-3,1-1,0-2,2-2,3-1,1-1,,1-3,3-2,1-3,0-2,1-1,1-1,0-2,0-2,2-2,0-2,0-2,1-3,2000,31,51,.378,21.0,98.0,99.0,-1.18,2000,New Jersey Nets,0,,,,,,,,
17,New York Knicks,1-2,2-2,3-1,3-0,1-3,2-0,1-1,3-1,2-0,2-0,2-2,1-1,0-2,1-3,4-0,1-1,3-1,,3-1,3-1,1-1,2-0,1-1,1-1,2-0,1-3,0-2,2-0,2-2,2000,50,32,.610,2.0,92.1,90.7,1.30,2000,New York Knicks,1,,,,,,,,
